"95
        



This player has moved up in the rankings since the previous rankings update",Rovman Powell,WI,426,"456 v India, 24/10/2018"
"96
        



This player has moved down in the rankings since the previous rankings update",Dhananjaya de Silva,SL,420,"444 v Bangladesh, 26/07/2019"
97,Tony Ura,PNG,415,"416 v Namibia, 23/09/2019"
,Gulbadin Naib,AFG,415,"440 v Ireland, 28/02/2018"
99,Chris Woakes,ENG,411,"481 v Australia, 26/01/2018"
100,Sam Billings,ENG,409,"415 v Australia, 16/09/2020"

1,Trent Boult,727
2,Jasprit Bumrah,719
3,Mujeeb Zadran,701
4,Kagiso Rabada,674
5,Pat Cummins,673
6,Chris Woakes,659
7,Mohammad Amir,656
8,Mitchell Starc,645
9,Matt Henry,643
10,Lockie Ferguson,638
